Sr_no,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Moisture,Quakers,Category_One_Defects,Category_Two_Defects,altitude_mean_meters,Total_Cup_Points
268,7.83,7.75,7.58,7.58,7.75,7.75,10,10,10,7.67,0,0,1,1,1775.030545,83.92
269,7.75,7.58,7.67,7.83,7.83,7.67,10,10,10,7.58,0,0,0,1,1775,83.92
270,8,7.92,7.92,7.92,7.67,7.33,10,10,10,7.17,0.06,0,0,0,950,83.92
271,7.67,7.83,7.67,7.75,7.67,7.83,10,10,10,7.5,0.12,0,0,3,1550,83.92
272,7.67,7.75,7.58,7.67,7.75,7.83,10,10,10,7.67,0.12,0,10,32,900,83.92
273,7.5,7.67,7.58,7.83,7.75,7.75,10,10,10,7.83,0.11,0,0,2,1500,83.92
274,7.75,7.92,7.83,7.92,7.75,7.67,9.33,10,10,7.75,0,0,0,2,1400,83.92
275,7.92,7.58,7.5,7.83,7.58,7.67,10,10,10,7.75,0,0,1,6,2527,83.83
276,7.83,7.67,7.5,7.75,7.75,7.75,10,10,10,7.58,0,2,1,0,1775.030545,83.83
277,7.67,7.67,7.75,7.67,7.5,7.75,10,10,10,7.83,0,0,0,0,1850,83.83
278,7.75,7.75,7.5,7.75,7.83,7.58,10,10,10,7.67,0.11,7,0,6,1500,83.83
279,7.75,7.67,7.5,7.75,7.75,7.67,10,10,10,7.75,0,0,0,0,1200,83.83
280,7.25,7.58,7.42,8,7.75,7.83,10,10,10,8,0,0,0,0,1,83.83
281,7.67,7.75,7.67,7.75,7.42,7.75,10,10,10,7.83,0,0,0,1,525,83.83
282,7.75,7.75,7.67,7.67,7.58,7.67,10,10,10,7.75,0.12,0,0,4,1676.5,83.83
283,7.67,7.67,7.58,7.5,7.83,8.17,10,10,9.33,8.08,0,0,0,1,1200,83.83
284,7.83,7.42,7.5,7.83,7.75,7.83,10,10,10,7.67,0.1,0,0,3,1300,83.83
285,7.58,7.83,7.33,8,7.58,7.75,10,10,10,7.75,0.1,0,0,1,1219.2,83.83
286,7.92,7.5,7.33,7.67,8.17,7.5,10,10,10,7.75,0.1,0,0,0,1260,83.83
287,7.5,7.67,7.58,7.75,7.83,7.83,10,10,10,7.67,0.09,0,0,0,800,83.83
288,7.67,7.58,7.58,7.83,7.58,7.67,10,10,10,7.92,0.11,0,0,1,1750,83.83
289,7.5,7.83,7.5,7.83,7.83,7.67,10,10,10,7.67,0.11,0,0,3,1310.64,83.83
290,7.67,8,7.67,7.42,7.67,7.5,10,10,10,7.92,0.1,0,0,2,1218,83.83
291,7.67,7.58,7.5,7.75,7.75,7.75,10,10,10,7.83,0.11,0,0,4,1300,83.83
292,7.83,7.83,7.58,7.67,7.5,7.58,10,10,10,7.83,0.12,0,0,3,1250,83.83
293,7.75,7.75,7.58,8,7.67,7.58,10,10,10,7.5,0.02,0,0,2,1499.9208,83.83
294,7.5,7.83,7.58,7.58,7.75,7.83,10,10,10,7.75,0.01,0,0,0,1775.030545,83.83
295,7.58,7.83,7.58,8,7.83,7.5,10,10,10,7.5,0.1,0,0,3,1775.030545,83.83
296,7.75,7.58,7.5,7.58,7.75,7.75,10,10,10,7.83,0.11,0,0,2,1800,83.75
297,7.67,7.67,7.58,7.75,7.67,7.67,10,10,10,7.75,0.11,0,0,5,890,83.75
298,7.83,7.83,7.58,7.58,7.58,7.58,10,10,10,7.75,0.11,0,0,1,442,83.75
299,7.67,7.67,7.58,7.58,7.67,7.83,10,10,10,7.75,0,0,0,0,750,83.75
300,7.92,7.75,7.5,7.67,7.75,7.5,10,10,10,7.67,0,0,1,4,1775.030545,83.75
301,7.83,7.75,7.67,7.5,7.58,7.67,10,10,10,7.75,0.1,1,0,2,1650,83.75
302,7.75,7.67,7.5,7.67,7.58,7.83,10,10,10,7.75,0,0,0,0,442,83.75
303,8,7.92,7.58,7.75,7.33,7.5,10,10,10,7.67,0.12,0,0,0,1400,83.75
304,7.83,7.83,7.83,7.67,8,8.17,9.33,9.33,10,7.75,0.12,0,0,1,853.44,83.75
305,7.67,7.67,7.67,7.92,7.5,7.67,10,10,10,7.67,0,0,0,5,1775,83.75
306,7.67,7.42,7.42,7.42,8,8.33,10,10,10,7.5,0,0,0,3,1550,83.75
307,7.58,7.67,7.75,7.67,7.67,7.67,10,10,10,7.75,0,0,0,1,1750,83.75
308,7.75,7.67,7.75,7.58,7.42,8,10,10,10,7.58,0.11,0,0,3,1750,83.75
309,7.25,7.42,7.67,7.58,7.83,8.25,10,10,10,7.75,0,0,0,0,1775.030545,83.75
310,7.83,7.58,7.58,7.5,7.75,7.67,10,10,10,7.83,0.13,0,5,5,700,83.75
311,7.67,7.58,7.58,7.67,7.75,7.75,10,10,10,7.75,0.11,0,0,1,1300,83.75
312,7.83,7.83,7.58,7.33,7.42,7.67,10,10,10,8.08,0.1,0,0,1,1600,83.75
313,7.75,7.67,7.25,7.25,7.58,8.5,10,10,10,7.75,0.06,0,0,1,1600,83.75
314,7.83,7.67,7.75,7.67,7.58,7.5,10,10,10,7.75,0,0,0,0,1775.030545,83.75
315,7.67,7.83,7.5,7.67,7.67,7.5,10,10,10,7.83,0.11,0,0,2,890,83.67
316,8.08,7.67,7.67,7.58,7.25,7.67,10,10,10,7.75,0.11,0,0,0,1700,83.67
317,7.5,7.5,7.67,7.67,8,8,10,10,10,7.33,0.1,0,0,2,1400,83.67
318,7.67,7.75,7.67,7.67,7.83,7.58,10,10,10,7.5,0.1,0,0,3,1250,83.67
319,7.58,7.75,7.58,7.75,7.58,7.58,10,10,10,7.83,0.11,2,0,3,934,83.67
320,7.5,7.67,7.33,7.92,7.83,7.67,10,10,10,7.75,0.1,0,0,0,1200,83.67
321,7.33,7.67,7.67,7.5,7.67,7.5,10,10,10,8.33,0.11,0,0,1,1350,83.67
322,7.5,7.75,7.58,7.83,7.67,7.58,10,10,10,7.75,0.12,0,0,0,800,83.67
323,7.5,7.75,7.5,7.75,7.67,7.67,10,10,10,7.83,0.11,0,0,4,1625,83.67
324,8,7.5,7.33,8,8,8,9.33,10,10,7.5,0.1,0,0,0,1356.6648,83.67
325,7.83,7.75,7.67,7.58,7.58,7.67,10,10,10,7.58,0,0,0,3,1750,83.67
326,7.67,7.67,7.67,7.67,7.33,7.75,10,10,10,7.92,0,0,0,1,1900,83.67
327,7.67,7.67,7.42,7.67,8,7.75,10,10,10,7.5,0.12,0,1,3,1310.64,83.67
328,7.83,7.67,7.33,7.67,7.67,7.83,10,10,10,7.67,0.11,0,0,2,1310.64,83.67
329,7.75,7.75,7.58,7.83,7.17,7.75,10,10,10,7.83,0.11,0,0,1,1750,83.67
330,8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,8,0.11,0,0,1,1450,83.67
331,7.67,8.17,7.5,7.42,7.58,7.83,10,10,10,7.5,0.11,0,0,13,1310.64,83.67
332,7.67,7.5,7.5,7.33,7.83,8.25,10,10,10,7.58,0.12,0,4,11,1100,83.67
333,8.17,7.67,7.58,7.58,7.42,7.67,10,10,10,7.58,0.12,0,0,0,1400,83.67
334,7.67,7.5,7.33,8,7.67,7.67,10,10,10,7.83,0.1,0,0,0,1524,83.67
335,7.75,8,7.92,8.08,7.75,8,9.33,9.33,9.33,8.17,0,0,0,0,1775.030545,83.67
336,7.58,7.67,7.58,7.58,7.67,7.58,10,10,10,7.92,0.11,0,0,5,890,83.58
337,7.75,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,0.11,1,0,0,1128.3696,83.58
338,7.75,7.75,7.58,7.58,7.67,7.58,10,10,10,7.67,0.11,0,0,4,1775.030545,83.58
339,7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,0.1,1,0,4,1100,83.58
340,7.67,7.75,7.58,7.67,7.75,7.58,10,10,10,7.58,0.12,0,0,3,1775,83.58
341,7.75,7.75,7.58,7.58,7.5,7.67,10,10,10,7.75,0.12,0,1,13,1200,83.58
342,7.75,7.67,7.58,7.67,7.5,7.67,10,10,10,7.75,0,0,0,7,1850,83.58
343,7.67,7.67,7.42,7.75,7.75,7.67,10,10,10,7.67,0.12,0,0,5,1800,83.58
344,7.67,7.58,7.67,7.67,7.67,7.67,10,10,10,7.67,0,0,0,0,1600,83.58
345,7.67,7.58,7.67,7.58,7.67,7.75,10,10,10,7.67,0.12,0,0,1,1550,83.58
346,7.75,7.58,7.5,7.58,7.75,7.83,10,10,10,7.58,0,0,0,0,1550,83.58
347,7.75,7.75,7.75,7.75,7.5,7.58,10,10,10,7.5,0.11,0,0,0,1000,83.58
348,7.67,7.67,7.58,7.67,7.75,7.58,10,10,10,7.67,0.11,0,0,3,1775,83.58
349,7.83,7.67,7.58,7.58,7.67,7.58,10,10,10,7.67,0.12,0,0,2,1000,83.58
350,7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,0.11,0,0,4,2136,83.58
351,7.83,7.75,7.5,7.75,7.5,7.58,10,10,10,7.67,0.12,0,0,2,1100,83.58
352,7.75,7.58,7.58,7.75,7.75,7.5,10,10,10,7.58,0,0,0,5,1799,83.5
353,7.58,7.58,7.17,7.17,7,7,10,10,10,10,0.11,0,0,0,1775.030545,83.5
354,7.92,7.42,7.5,7.67,7.5,7.67,10,10,10,7.83,0,0,0,0,1850,83.5
355,7.75,7.58,7.58,7.5,7.75,7.75,10,10,10,7.58,0,0,0,0,1000,83.5
356,7.67,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,0.1,2,0,5,1219.2,83.5
357,7.58,7.58,7.58,7.58,7.75,7.67,10,10,10,7.75,0.12,0,0,4,1775,83.5
358,7.75,7.67,7.58,7.67,7.67,7.58,10,10,10,7.58,0.13,0,0,21,1400,83.5
359,7.25,7.67,7.58,7.92,7.83,7.58,10,10,10,7.67,0.13,0,0,8,1500,83.5
360,7.67,7.75,7.5,7.58,7.75,7.67,10,10,10,7.58,0.1,0,1,18,1600,83.5
361,7.67,7.42,7.67,7.83,7.58,7.67,10,10,10,7.67,0,0,1,0,1775.030545,83.5
362,8,7.58,7.25,7.58,7.92,7.58,10,10,10,7.58,0.11,0,0,0,1850,83.5
363,7.58,7.75,7.5,7.83,7.42,7.67,10,10,10,7.75,0.1,0,0,0,1400,83.5
364,7.75,7.58,7.33,7.5,7.83,7.83,10,10,10,7.67,0,0,2,0,1650,83.5
365,7.67,7.5,7.67,7.5,7.67,7.67,10,10,10,7.83,0.1,0,0,3,1350,83.5
366,7.58,7.75,7.42,7.67,7.75,7.67,10,10,10,7.67,0,0,1,1,1750,83.5
367,7.58,7.67,7.58,7.75,7.58,7.75,10,10,10,7.58,0.11,,0,2,1750,83.5
368,7.83,7.58,7.25,7.5,7.5,7.42,10,10,10,8.42,0.13,0,0,14,1170,83.5
369,7.67,7.75,7.67,7.75,7.58,7.5,10,10,10,7.58,0.11,0,0,12,940,83.5
370,7.75,7.67,7.67,7.75,7.33,7.5,10,10,10,7.83,0.12,0,0,0,1400,83.5
371,7.83,7.5,7.5,8,7.67,7.5,10,10,10,7.5,0.1,0,0,5,1524,83.5
372,7.67,7.58,7.58,7.67,7.67,7.67,10,10,10,7.67,0.11,0,0,0,1775,83.5
373,7.5,7.5,7.75,7.5,8,7.67,10,10,10,7.58,0,0,3,12,1402.08,83.5
374,7.5,7.67,7.58,7.92,7.58,7.67,10,10,10,7.58,0.01,0,0,0,1775.030545,83.5
375,7.83,7.58,7.58,7.58,7.75,7.58,10,10,10,7.58,0,0,0,0,1600,83.5
376,7.5,7.58,7.58,7.5,7.75,7.83,10,10,10,7.67,0,2,0,1,439,83.42
377,7.67,7.75,7.5,7.58,7.58,7.67,10,10,10,7.67,0.1,0,0,3,1700,83.42
378,7.67,7.67,7.5,7.67,7.67,7.58,10,10,10,7.67,0.11,0,0,2,442,83.42
379,7.58,7.5,7.42,7.92,7.5,7.67,10,10,10,7.83,0.09,0,0,4,1850,83.42
380,7.67,7.67,7,7.08,7,7,10,10,10,10,0.11,0,0,0,1775.030545,83.42
381,7.58,7.75,7.33,7.75,7.67,7.58,10,10,10,7.75,0.11,0,0,1,1800,83.42
382,7.5,7.58,7.75,7.5,7.75,7.67,10,10,10,7.67,0.13,0,0,0,1200,83.42
383,7.58,7.5,7.75,7.58,7.75,7.67,10,10,10,7.58,0.11,0,0,0,1330,83.42
384,7.58,7.67,7.58,7.67,7.58,7.67,10,10,10,7.67,0.12,0,4,0,442,83.42
385,7.33,7.83,7.75,7.5,7.42,7.83,10,10,10,7.75,0.12,0,0,6,1775.030545,83.42
386,7.75,7.67,7.58,7.67,7.58,7.58,10,10,10,7.58,0.13,0,0,4,1600,83.42
387,7.58,7.58,7.25,7.75,7.75,8.58,9.33,10,10,7.58,0.12,0,0,1,1813,83.42
388,7.75,7.83,7.33,7.83,7.5,7.67,10,10,10,7.5,0.1,0,0,1,1219.2,83.42
389,7.67,7.75,7.5,7.83,7.58,7.5,10,10,10,7.58,0.1,0,0,2,1500,83.42
390,7.67,7.5,7.75,7.42,7.75,7.75,10,10,10,7.58,0.11,0,0,0,1310.64,83.42
391,7.42,7.75,7.67,7.58,7.67,7.67,10,10,10,7.67,0,0,0,2,1775.030545,83.42
392,7.5,7.75,7.58,7.5,7.67,7.75,10,10,10,7.67,0.11,0,0,2,1450,83.42
393,7.58,7.58,7.58,7.67,7.75,7.67,10,10,10,7.58,0.1,0,1,3,1775.030545,83.42
394,7.5,7.92,7.42,7.67,7.83,7.58,10,10,10,7.5,0.01,0,0,0,1775.030545,83.42
395,7.58,7.25,7.5,7.92,7.92,7.42,10,10,10,7.83,0.11,0,0,0,1775.030545,83.42
396,7.25,7.88,7.38,7.63,7.5,8.75,9,10,10,8,0.09,0,2,4,1050,83.38
397,7.75,7.5,7.75,7.58,7.58,7.58,10,10,10,7.58,0,1,0,0,1650,83.33
398,7.67,7.58,7.58,7.42,7.67,7.75,10,10,10,7.67,0,0,0,0,1775.030545,83.33
399,7.83,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,0,0,1,2,1775.030545,83.33
400,7.5,7.83,7.33,7.58,7.58,7.92,10,10,10,7.58,0.1,0,1,5,1227,83.33
401,7.75,7.75,7.5,7.67,7.5,7.58,10,10,10,7.58,0.12,0,0,2,1200,83.33
402,7.67,7.75,7.42,7.83,7.83,7.42,10,10,10,7.42,0.11,0,0,1,1650,83.33
403,7.75,7.58,7.67,7.58,7.58,7.58,10,10,10,7.58,0.12,0,0,6,1700,83.33
404,7.67,7.67,7.58,7.67,7.5,7.58,10,10,10,7.67,0.12,0,0,0,1100,83.33
405,7.67,7.67,7.42,7.67,7.67,7.67,10,10,10,7.58,0.12,0,0,3,1300,83.33
406,7.83,7.58,7.83,7.67,7.92,8,9.33,10,9.33,7.83,0.11,0,0,1,1775.030545,83.33
407,7.5,7.67,7.67,7.5,7.83,7.17,10,10,10,8,0.11,0,0,3,1200,83.33
408,7.83,7.75,7.58,7.83,7.92,7.58,9.33,10,10,7.5,0.12,0,0,5,1775.030545,83.33
409,7.58,7.5,7.67,7.5,7.83,7.42,10,10,10,7.83,0.11,0,0,4,1280.16,83.33
410,7.67,7.67,7.5,7.67,7.92,7.42,10,10,10,7.5,0.11,0,0,1,1000,83.33
411,7.83,7.67,7.17,7.67,7.67,7.67,10,10,10,7.67,0.11,0,0,3,1310.64,83.33
412,7.92,7.5,7.58,7.83,7.67,7.67,9.33,10,10,7.83,0.1,0,0,4,1775.030545,83.33
413,7.75,7.67,7.33,7.5,7.5,7.75,10,10,10,7.83,0,0,0,5,1880,83.33
414,7.5,7.67,7.67,7.58,7.67,7.58,10,10,10,7.67,0,0,0,1,1750,83.33
415,8.08,7.83,7.83,7.75,7.67,7.58,9.33,10,9.33,7.92,0.01,0,0,0,1775.030545,83.33
416,7.58,7.67,7.58,7.5,7.83,7.67,10,10,10,7.5,0,0,0,0,1775.030545,83.33
417,7.67,7.83,7.42,7.83,7.33,7.5,10,10,10,7.67,0.11,0,0,0,1600,83.25
418,7.5,7.5,7.83,7.5,7.67,7.67,10,10,10,7.58,0.11,0,0,0,1900,83.25
419,7.83,7.5,7.42,7.67,7.5,7.67,10,10,10,7.67,0.11,0,0,0,1775.030545,83.25
420,7.5,7.58,7.42,7.83,7.67,7.58,10,10,10,7.67,0.11,2,0,7,2100,83.25
421,7.5,7.67,7.67,7.42,7.67,7.67,10,10,10,7.67,0.12,0,0,1,1775.030545,83.25
422,7.58,7.67,7.42,7.5,7.67,7.42,10,10,10,8,0.12,0,0,4,1775.030545,83.25
423,7.58,7.67,7.67,7.17,7.75,7.83,10,10,10,7.58,0,0,0,2,442,83.25
424,7.83,7.75,7.5,7.58,7.58,7.58,10,10,10,7.42,0.12,0,0,2,1261,83.25
425,7.67,7.5,7.5,7.5,7.67,7.83,10,10,10,7.58,0.1,0,0,0,1000,83.25
426,7.92,7.83,7.75,7.58,7.5,7.33,10,10,10,7.33,0.1,0,0,0,800,83.25
427,7.58,7.58,7.5,7.58,7.58,7.75,10,10,10,7.67,0,0,0,0,1483,83.25
428,7.5,7.67,7.58,7.67,7.67,7.5,10,10,10,7.67,0.1,0,0,1,1500,83.25
429,7.83,7.5,7.67,7.33,7.67,7.67,10,10,10,7.58,0.11,0,0,1,1750,83.25
430,7.58,7.75,7.5,7.5,7.58,7.58,10,10,10,7.75,0.12,0,0,6,1300,83.25
431,7.58,7.75,7.83,8,8.08,7.67,9.33,10,9.33,7.67,0.11,0,0,4,1775.030545,83.25
432,7.75,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,0.13,0,0,7,1775.030545,83.25
433,7.75,7.75,7.42,7.92,7.33,7.5,10,10,10,7.58,0.12,0,0,0,1000,83.25
434,7.83,7.58,7.08,7.83,7.42,8.08,10,10,10,7.42,0.11,0,0,9,1310.64,83.25
435,7.75,7.67,7.5,7.58,7.58,7.58,10,10,10,7.58,0.11,0,0,1,1200,83.25
436,7.67,7.58,7.58,7.42,7.83,7.58,10,10,10,7.58,0.12,0,0,1,175,83.25
437,7.67,7.67,7.5,7.5,7.58,7.67,10,10,10,7.67,0.11,0,0,0,1775,83.25
438,7.92,7.75,7.25,7.42,7.83,7.58,10,10,10,7.5,0.08,0,0,0,1700,83.25
439,8,7.67,7.67,7.25,7.67,7.5,10,10,10,7.5,0.13,0,0,1,1880,83.25
440,7.92,7.75,7.5,7.42,7.42,7.67,10,10,10,7.58,0.04,0,0,1,1800,83.25
441,7.67,7.42,7.5,7.58,7.67,7.58,10,10,10,7.75,0.11,0,0,4,890,83.17
442,7.58,7.58,7.33,7.67,7.75,7.58,10,10,10,7.67,0.1,0,0,1,1901,83.17
443,7.67,7.58,7.42,7.67,7.67,7.58,10,10,10,7.58,0.12,0,0,3,168,83.17
444,7.92,7.5,7.5,7.58,7.67,7.5,10,10,10,7.5,0.11,1,0,0,1775.030545,83.17
445,7.58,7.42,7.08,7.33,7.58,8.58,10,10,10,7.58,0.07,0,0,0,1550,83.17
446,7.67,7.75,7.42,7.75,7.58,7.5,10,10,10,7.5,0.11,2,2,3,1500,83.17
447,7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,0.11,1,0,1,1450,83.17
448,7.5,7.67,7.33,7.67,7.67,7.67,10,10,10,7.67,0.11,0,0,0,1200,83.17
449,7.67,7.67,7.5,7.67,7.42,7.58,10,10,10,7.67,0.1,0,0,3,1600,83.17
450,7.5,7.5,7.33,7.67,8,7.67,10,10,10,7.5,0,0,0,0,1350,83.17
451,7.5,7.75,7.5,7.83,7.58,7.5,10,10,10,7.5,0.11,0,0,1,1500,83.17
452,7.92,7.67,7.42,7.75,7.5,7.5,10,10,10,7.42,0.12,0,0,3,1650,83.17
453,7.83,7.75,7.67,7.75,7.83,8.5,9.33,9.33,9.33,7.83,0.1,0,0,1,250.5,83.17
454,7.67,7.58,7.58,7.75,7.42,7.67,10,10,10,7.5,0.12,0,0,0,800,83.17
455,7.58,7.67,7.67,7.58,7.42,7.58,10,10,10,7.67,0.13,0,0,6,1653,83.17
456,7.58,7.5,7.5,7.67,7.5,7.67,10,10,10,7.75,0,0,0,4,1775,83.17
457,8,7.67,7.5,7.42,7.33,7.58,10,10,10,7.67,0.1,0,0,0,1800,83.17
458,7.58,7.75,7.5,7.58,7.58,7.58,10,10,10,7.58,0.11,0,10,3,1775.030545,83.17
459,7.5,7.5,7.5,7.67,7.67,7.67,10,10,10,7.67,0.1,0,0,5,1450,83.17
460,7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,0.11,0,0,3,1350,83.17
461,7.33,7.83,7.17,8.17,7.33,7.67,10,10,10,7.67,0.09,0,0,1,1524,83.17
462,7.5,7.5,7.58,7.42,7.92,7.67,10,10,10,7.58,0.11,0,0,0,1775.030545,83.17
463,7.58,7.5,7.58,7.75,7.58,7.58,10,10,10,7.58,0.12,0,0,1,1800,83.17
464,7.67,7.83,7.33,7.67,7.5,7.67,10,10,10,7.5,0.11,0,0,2,1310.64,83.17
465,7.75,7.58,7.58,7.58,7.5,7.42,10,10,10,7.75,0.11,0,0,2,1500,83.17
466,7.75,7.67,7.58,7.5,7.42,7.58,10,10,10,7.67,0.12,0,3,8,532,83.17
467,7.58,7.75,7.42,7.67,7.5,7.58,10,10,10,7.67,0.14,0,0,10,1089,83.17
468,7.67,7.5,7.5,7.5,7.58,8.17,10,10,10,7.25,0.11,0,1,2,1775,83.17
469,7.75,7.5,7.42,7.75,7.58,7.58,10,10,10,7.58,0.13,0,0,5,700,83.17
470,7.58,7.67,7.5,7.58,7.67,7.67,10,10,10,7.5,0.11,0,0,0,1750,83.17
471,7.5,7.75,7.58,7.58,7.67,7.5,10,10,10,7.58,0.11,0,0,5,1380,83.17
472,7.75,7.67,7.58,7.5,7.58,7.58,10,10,10,7.5,0.12,0,0,1,1000,83.17
473,7.92,7.58,7.5,7.58,7.42,7.5,10,10,10,7.67,0.11,0,0,4,950,83.17
474,7.75,7.5,7.67,7.5,7.92,8,10,10,9.33,7.5,0,0,0,10,1402.08,83.17
475,7.75,7.5,7.58,7.5,7.75,7.5,10,10,10,7.58,0.12,0,0,3,1000,83.17
476,7.58,7.75,7.67,7.5,7.67,7.58,10,10,10,7.42,0.02,0,0,2,900,83.17
477,7.42,7.83,8.17,8.08,7.17,7.58,10,9.33,10,7.58,0.14,0,0,3,1200,83.17
478,7.75,8,7.67,8.08,7.83,7.92,9.33,9.33,9.33,7.92,0.01,0,0,0,1850,83.17
479,7.58,7.67,7.33,7.67,7.75,7.58,10,10,10,7.5,0,1,0,4,1799,83.08
480,7.75,7.5,7.5,7.42,8,7.75,10,10,10,7.17,0,2,1,5,1775.030545,83.08
481,7.58,7.58,7.58,7.5,7.67,7.58,10,10,10,7.58,0.11,2,0,2,905,83.08
482,7.33,7.67,7.67,7.33,7.75,7.42,10,10,10,7.92,0,0,0,3,1,83.08
483,7.83,7.92,7.5,7.83,7.67,7.25,9.33,10,10,7.75,0,0,0,0,750,83.08
484,7.42,7.67,7.58,7.5,7.75,7.67,10,10,10,7.5,0.11,0,0,13,1775.030545,83.08
485,7.58,7.83,7.67,7.42,7.42,7.5,10,10,10,7.67,0,0,0,1,1200,83.08
486,7.83,7.33,7.5,7.67,7.58,7.67,10,10,10,7.5,0.1,0,0,3,1300,83.08
487,7.33,7.75,7.58,7.33,7.83,7.67,10,10,10,7.58,0.12,0,0,8,1775.030545,83.08
488,7.75,7.75,7.5,7.5,7.5,7.5,10,10,10,7.58,0.11,0,0,0,1300,83.08
489,7.83,7.83,7.33,7.17,7.75,7.67,10,10,10,7.5,0.1,0,0,0,1775.030545,83.08
490,7.75,7.67,7.42,7.75,7.5,7.5,10,10,10,7.5,0.1,0,0,1,1400,83.08
491,7.67,7.58,7.5,7.67,7.92,8,9.33,9.33,10,8.08,0,0,1,4,1775.030545,83.08
492,7.33,7.58,7.58,7.92,7.67,7.58,10,10,10,7.42,0.12,0,0,0,1775.030545,83.08
493,7.33,7.33,7.33,7.58,7.25,8.08,10,10,10,8.17,0.01,0,0,0,1775,83.08
494,7.83,7.75,7.33,7.25,7.42,7.92,10,10,10,7.58,0.08,0,1,3,1880,83.08
495,7.67,7.58,7.5,7.58,7.67,7.58,10,10,10,7.5,0,0,0,0,1350,83.08
496,7.92,7.67,7.67,7.25,7.83,7.67,9.33,10,10,7.75,0.02,0,0,1,1775.030545,83.08
497,7.58,7.5,7.5,7.75,7.67,7.5,10,10,10,7.5,0,0,0,4,890,83
498,7.5,7.58,7.58,7.67,7.58,7.5,10,10,10,7.58,0.11,3,0,5,894,83
499,7.5,7.67,7.58,7.67,7.58,7.42,10,10,10,7.58,0.11,2,0,3,872,83
500,7.67,7.58,7.42,7.42,7.83,7.5,10,10,10,7.58,0.12,0,0,6,1473,83
501,7.67,7.67,7.5,7.58,7.42,7.5,10,10,10,7.67,0.12,5,0,8,1645,83
502,7.67,7.67,7.33,7.67,7.5,7.58,10,10,10,7.58,0.11,0,0,4,442,83
503,7.75,7.67,7.58,7.58,7.42,7.67,9.33,10,10,8,0,0,0,0,1550,83
504,7.67,7.75,7.33,7.92,7.42,7.5,10,10,10,7.42,0.11,0,0,3,1550,83
505,7.75,7.67,7.33,7.75,7.5,7.42,10,10,10,7.58,0.11,0,0,2,1371.6,83
506,7.83,7.67,7.25,7.67,7.75,7.5,10,10,10,7.33,0.11,0,0,2,1500,83
507,7.67,7.67,7.67,7.5,7.42,7.5,10,10,10,7.58,0,0,0,0,1000,83
508,7.92,7.92,7.83,7.58,7.33,7.25,10,10,10,7.17,0.08,0,0,0,1200,83
509,7.83,7.58,7.5,7.5,7.58,7.5,10,10,10,7.5,0.12,0,0,0,1800,83
510,7.67,7.5,7.67,7.83,7.75,7.83,10,10,9.33,7.42,0,0,0,0,853.44,83
511,7.67,7.67,7.42,7.83,7.5,7.5,10,10,10,7.42,0.1,0,1,0,1500,83
512,7.67,7.58,7.5,7.58,7.5,7.5,10,10,10,7.67,0.11,0,0,3,1200,83
513,7.75,7.58,7.42,7.67,7.42,7.67,10,10,10,7.5,0.12,0,0,4,1250,83
514,7.75,7.42,7.33,7.5,7.58,7.17,10,10,10,8.25,0.11,0,1,1,1775,83
515,7.83,7.5,7.58,7.33,7.5,7.67,10,10,10,7.58,0,0,0,0,1750,83
516,7.33,7.67,7.75,7.42,7.75,7.58,10,10,10,7.5,0.11,0,0,1,1000,83
517,7.58,7.75,7.42,7.67,7.58,7.42,10,10,10,7.58,0,0,0,2,1000,83
518,7.5,7.5,7.42,7.58,7.75,7.58,10,10,10,7.67,0.11,0,1,2,1775,83
519,7.67,7.58,7.42,7.5,7.67,7.58,10,10,10,7.58,0.11,0,0,20,750,83
520,7.67,7.83,7.5,7.58,7.58,7.67,9.33,10,10,7.83,0.11,0,0,7,1200,83
521,7.5,7.67,7.5,7.5,7.58,7.58,10,10,10,7.67,0.11,0,5,8,1200,83
522,7.67,7.58,7.5,7.5,7.75,7.5,10,10,10,7.5,0,0,1,4,1775.030545,83
523,7.75,7.58,7.5,7.67,7.83,7.75,9.33,10,10,7.58,0,0,0,4,1625,83
524,7.67,7.58,7.58,7.58,7.67,7.42,10,10,10,7.5,0.11,0,0,0,1750,83
525,7.5,7.67,7.5,7.67,7.5,7.83,10,10,10,7.33,0.1,0,0,2,1371.6,83
526,7.67,7.67,7.58,7.5,7.67,7.42,10,10,10,7.5,0.12,0,0,0,1775,83
527,7.33,7.67,7.58,7.5,7.75,7.67,10,10,10,7.5,0.28,0,0,0,1775.030545,83
528,7.33,7.67,7.58,7.33,7.58,7.92,10,10,10,7.58,0.08,0,0,1,1450,83
529,7.83,7.83,7.67,7.83,7.92,7.83,9.33,9.33,9.33,8.08,0,0,0,0,1775.030545,83
530,7.5,7.58,7.42,7.58,7.58,7.67,10,10,10,7.67,0,0,0,1,1775.030545,83
